Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2016-02-29,9.091,8.455,0.968,1.826
2016-01-03,4.695,9.092,0.114,3.576
2016-02-03,2.746,8.774,0.106,6.423
2016-03-03,2.212,7.574,0.052,5.651
2016-04-03,5.382,9.122,0.087,4.545
2016-05-03,1.06,9.496,0.034,8.547
2016-06-03,3.775,13.793,0.056,10.502
2016-07-03,9.039,7.61,3.128,2.95
2016-08-03,5.827,6.423,0.237,2.103
2016-09-03,13.541,9.114,5.322,2.432
2016-10-03,4.09,9.174,0.126,4.813
2016-11-03,7.582,5.984,0.581,1.989
2016-12-03,11.814,7.866,3.757,0.951
2016-03-13,3.172,14.719,0.055,10.396
2016-03-14,6.514,7.373,0.243,2.154
2016-03-15,5.025,7.68,0.318,3.27
2016-03-16,14.869,6.93,7.603,2.261
2016-03-17,14.65,5.721,6.987,0.76
2016-03-18,2.267,3.925,0.136,0.296
2016-03-19,2.871,7.757,0.074,5.211
2016-03-20,8.934,7.975,1.494,3.624
2016-03-21,2.622,10.832,0.068,6.545
2016-03-22,5.569,3.726,0.649,1.536
2016-03-23,10.211,3.431,5.35,0.13
2016-03-24,7.297,3.901,2.408,0.117
2016-03-25,1.178,3.517,0.112,0.746
2016-03-26,13.771,4.373,7.099,1.508
2016-03-27,4.374,12.41,0.152,6.41
2016-03-28,3.603,9.947,0.112,6.687
2016-03-29,4.781,4.452,0.493,1.716
2016-03-30,6.404,5.978,0.687,1.759
2016-03-31,8.335,4.719,2.249,0.655
2016-01-04,15.973,7.078,7.887,0.313
2016-02-04,15.555,6.048,7.352,0.233
2016-03-04,9.127,5.075,3.641,0.169
2016-04-04,9.71,7.025,1.98,0.978
2016-05-04,1.987,7.247,0.128,3.486
2016-06-04,7.274,4.936,1.384,1.667
2016-07-04,7.111,5.681,1.337,0.565
2016-08-04,5.936,4.467,0.988,0.423
2016-09-04,10.757,10.81,2.024,2.081
2016-10-04,12.607,7.898,3.945,2.047
2016-11-04,12.045,6.305,4.482,0.19
2016-12-04,8.933,9.353,0.9,2.876
2016-04-13,4.403,4.981,0.157,0.199
2016-04-14,12.271,5.43,4.614,0.691
2016-04-15,2.649,3.936,0.136,0.393
2016-04-16,8.534,9.066,1.202,3.362
2016-04-17,11.122,9.367,2.825,2.196
2016-04-18,3.936,5.83,0.098,1.419
2016-04-19,8.814,10.533,1.292,4.543
2016-04-20,12.386,4.94,5.362,0.835
2016-04-21,16.182,6.355,8.651,0.238
2016-04-22,10.56,3.83,4.916,0.103
2016-04-23,12.692,10.733,2.772,1.019
2016-04-24,9.872,8.323,2.036,1.561
2016-04-25,2.967,9.213,0.059,5.572
2016-04-26,6.521,8.471,0.549,3.156
2016-04-27,6.707,9.437,0.676,4.172
2016-04-28,11.681,11.02,3.711,5.141
2016-04-29,5.568,6.742,0.204,1.412
2016-04-30,4.898,8.238,0.143,3.796
2016-01-05,15.748,9.158,5.584,2.406
2016-02-05,16.482,5.228,9.614,0.133
2016-03-05,8.813,5.404,2.943,0.362
2016-04-05,17.145,4.964,10.985,0.126
2016-05-05,17.681,7.371,9.611,0.653
2016-06-05,17.446,8.361,7.329,0.198
2016-07-05,17.97,10.31,7.185,0.882
2016-08-05,17.54,5.738,10.28,0.559
2016-09-05,17.209,6.729,10.534,0.742
2016-10-05,16.955,5.294,8.967,0.154
2016-11-05,14.338,4.873,8.198,0.2
2016-12-05,16.197,3.739,11.063,0.123
2016-05-13,16.658,5.214,9.783,0.147
2016-05-14,9.955,9.092,3.42,1.451
2016-05-15,11.251,7.358,3.384,1.764
2016-05-16,11.777,7.137,5.103,1.119
2016-05-17,8.589,6.711,0.444,0.837
2016-05-18,8.707,7.261,1.156,0.708
2016-05-19,13.218,4.128,7.608,0.16
2016-05-20,3.809,4.524,0.18,0.409
2016-05-21,13.448,8.697,3.397,1.069
2016-05-22,12.585,8.285,4.038,1.016
2016-05-23,11.357,5.111,4.593,0.127
2016-05-24,2.677,4.433,0.103,0.33
2016-05-25,3.65,5.781,0.123,2.635
2016-05-26,2.039,4.501,0.097,2.757
2016-05-27,10.196,4.987,2.955,1.717
2016-05-28,14.198,3.027,9.921,0.06
2016-05-29,3.297,9.842,0.182,4.458
2016-05-30,13.332,6.293,4.906,1.076
2016-05-31,12.881,4.212,6.88,0.192
2016-01-06,16.831,4.979,10.545,0.151
2016-02-06,10.282,4.736,4.574,0.242
2016-03-06,14.523,5.07,8.753,0.138
2016-04-06,16.795,7.488,8.844,0.868
2016-05-06,17.524,8.484,7.428,0.515
2016-06-06,15.374,5.501,8.798,0.463
2016-07-06,15.584,6.895,7.188,0.604
